,Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition,Related_plant,URI
0,1/DZ_PG_67/ZM4394/E1,Ear,DIA2017,Maize,iPG310,WW,1,1/DZ_PG_67/ZM4394,test/instal mntpel/2020/aProject/pl20000391
1,1/DZ_PG_67/ZM4394/E2,Ear,DIA2017,Maize,iPG152,WW,1,1/DZ_PG_67/ZM4394,test/instal mntpel/2020/aProject/pl20000392
2,1/DZ_PG_67/ZM4394/E3,Ear,DIA2017,Maize,iPG228,WW,1,1/DZ_PG_67/ZM4394,test/instal mntpel/2020/aProject/pl20000393
3,4/DZ_PG_66/ZM4391/E1,Ear,DIA2017,Maize,iPG318,WW,1,4/DZ_PG_66/ZM4391,test/instal mntpel/2020/aProject/pl20000394
4,4/DZ_PG_66/ZM4391/E2,Ear,DIA2017,Maize,iPG119,WW,1,4/DZ_PG_66/ZM4391,test/instal mntpel/2020/aProject/pl20000395
5,4/DZ_PG_66/ZM4391/E3,Ear,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,test/instal mntpel/2020/aProject/pl20000396
6,4/DZ_PG_66/ZM4391/E4,Ear,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,test/instal mntpel/2020/aProject/pl20000397
7,8/DZ_PG_02/ZM4356/E1,Ear,DIA2017,Maize,iPG007,WW,1,8/DZ_PG_02/ZM4356,test/instal mntpel/2020/aProject/pl20000398
8,8/DZ_PG_02/ZM4356/E2,Ear,DIA2017,Maize,iPG109,WW,1,8/DZ_PG_02/ZM4356,test/instal mntpel/2020/aProject/pl20000399
9,8/DZ_PG_02/ZM4356/E3,Ear,DIA2017,Maize,iPG216,WW,1,8/DZ_PG_02/ZM4356,test/instal mntpel/2020/aProject/pl20000400
10,11/DZ_PG_25/ZM4382/E1,Ear,DIA2017,Maize,iPG136,WW,1,11/DZ_PG_25/ZM438,test/instal mntpel/2020/aProject/pl20000401
11,11/DZ_PG_25/ZM4382/E2,Ear,DIA2017,Maize,iPG073,WW,1,11/DZ_PG_25/ZM438,test/instal mntpel/2020/aProject/pl20000402
12,11/DZ_PG_25/ZM4382/E3,Ear,DIA2017,Maize,iPG131,WW,1,11/DZ_PG_25/ZM438,test/instal mntpel/2020/aProject/pl20000403
13,14/DZ_PG_22/ZM4349/E1,Ear,DIA2017,Maize,iPG121,WW,1,14/DZ_PG_22/ZM434,test/instal mntpel/2020/aProject/pl20000404
14,14/DZ_PG_22/ZM4349/E2,Ear,DIA2017,Maize,iPG116,WW,1,14/DZ_PG_22/ZM434,test/instal mntpel/2020/aProject/pl20000405
15,14/DZ_PG_22/ZM4349/E3,Ear,DIA2017,Maize,iPG303,WW,1,14/DZ_PG_22/ZM434,test/instal mntpel/2020/aProject/pl20000406
16,17/DZ_PG_37/ZM4364/E1,Ear,DIA2017,Maize,iPG167,WW,1,17/DZ_PG_37/ZM436,test/instal mntpel/2020/aProject/pl20000407
17,17/DZ_PG_37/ZM4364/E2,Ear,DIA2017,Maize,iPG190,WW,1,17/DZ_PG_37/ZM436,test/instal mntpel/2020/aProject/pl20000408
18,17/DZ_PG_37/ZM4364/E3,Ear,DIA2017,Maize,iPG312,WW,1,17/DZ_PG_37/ZM436,test/instal mntpel/2020/aProject/pl20000409
19,17/DZ_PG_37/ZM4364/E4,Ear,DIA2017,Maize,DKC4590,WW,1,17/DZ_PG_37/ZM436,test/instal mntpel/2020/aProject/pl20000410
20,21/DZ_PG_26/ZM4387/E1,Ear,DIA2017,Maize,iPG138,WW,1,21/DZ_PG_26/ZM438,test/instal mntpel/2020/aProject/pl20000411
21,21/DZ_PG_26/ZM4387/E2,Ear,DIA2017,Maize,iPG233,WW,1,21/DZ_PG_26/ZM438,test/instal mntpel/2020/aProject/pl20000412
22,21/DZ_PG_26/ZM4387/E3,Ear,DIA2017,Maize,iPG063,WW,1,21/DZ_PG_26/ZM438,test/instal mntpel/2020/aProject/pl20000413
23,21/DZ_PG_26/ZM4387/E4,Ear,DIA2017,Maize,iPG117,WW,1,21/DZ_PG_26/ZM438,test/instal mntpel/2020/aProject/pl20000414
24,21/DZ_PG_26/ZM4387/E5,Ear,DIA2017,Maize,iPG234,WW,1,21/DZ_PG_26/ZM438,test/instal mntpel/2020/aProject/pl20000415
